realm,item_id,type,slot,stat1,stat2,name,ilvl,buyout_gold
Saurfang,210107,Plate,Wrist,55% Haste,45% Mastery,Harvest Guardian Deflectors,418,47735
Saurfang,210107,Plate,Wrist,55% Haste,45% Mastery,Harvest Guardian Deflectors,421,46025
Saurfang,210106,Cloth,Wrist,60% Vers,40% Crit,Maple Tender Wristbands,421,46025
Saurfang,210089,Cloth,Hands,40% Haste,60% Vers,Maple Tender Gloves,418,46025
Saurfang,224602,Leather,Head,29% Crit,Max Mastery,Underscout's Cap,603,10421
Saurfang,224602,Leather,Head,29% Crit,Max Vers,Underscout's Cap,600,9315
Saurfang,224602,Leather,Head,57% Crit,43% Mastery,Underscout's Cap,597,9315
Saurfang,224624,Cloth,Back,64% Haste,36% Vers,Spinner's Shawl,597,11368
Saurfang,224609,Mail,Feet,Max Mastery,29% Vers,Expeditionary Boots,597,7263
Saurfang,224609,Mail,Feet,36% Crit,64% Vers,Expeditionary Boots,597,7263
Saurfang,224605,Leather,Wrist,43% Haste,57% Vers,Underscout's Bracers,600,12421
Saurfang,224593,Miscellaneous,Finger,29% Haste,Max Crit,Spinner's Circlet,597,11368
Saurfang,224593,Miscellaneous,Finger,29% Crit,Max Vers,Spinner's Circlet,597,11368
Saurfang,224626,Staff,Two-Hand,29% Haste,Max Vers,Deep-Dweller's Staff,603,15526
Saurfang,224603,Leather,Legs,64% Haste,36% Mastery,Underscout's Trousers,597,11368
Saurfang,224604,Leather,Waist,Max Haste,29% Crit,Underscout's Cord,597,11368
Saurfang,224608,Mail,Chest,64% Mastery,36% Vers,Expeditionary Brigandine,603,9368
Saurfang,121263,Mail,Feet,64% Haste,36% Mastery,Warpwind Greaves,214,1500
Saurfang,233462,Mail,Feet,52% Vers,48% Crit,Scrapcoil Striders,603,2000
Saurfang,224636,Dagger,One-Hand,Max Haste,29% Vers,Deep-Dweller's Dirk,603,400
Saurfang,163956,Staff,Two-Hand,62% Haste,38% Crit,Treiya's Shining Pillar,60,111360
Saurfang,224611,Mail,Head,57% Haste,43% Vers,Expeditionary Helm,561,39999
Saurfang,210120,Leather,Feet,65% Crit,35% Vers,Autumn Druid Treads,424,69998
Saurfang,210095,Cloth,Legs,45% Haste,55% Crit,Maple Tender Leggings,424,69998
Saurfang,224621,Plate,Shoulder,43% Crit,57% Mastery,Earthforged Shoulder Scales,561,39999
Saurfang,227692,Sword,One-Hand,43% Crit,57% Vers,Arathi Sword,564,49999
Saurfang,208430,Cloth,Waist,70% Mastery,30% Crit,Whispering Fanged Cord,444,280000
Saurfang,224628,Sword,Two-Hand,64% Haste,36% Crit,Arathi Claymore,558,24999
Saurfang,224630,Axe,One-Hand,Max Haste,29% Vers,Deep-Dweller's Battleaxe,600,93
Saurfang,210122,Staff,Two-Hand,65% Haste,35% Crit,Breezekeeper's Staff,418,1999999
Saurfang,159609,Wand,Ranged,64% Crit,36% Mastery,Golden Fleet Wand,320,71
Saurfang,121133,Leather,Shoulder,43% Mastery,57% Vers,Haustvelt Shoulders,214,999
Saurfang,224633,Axe,Two-Hand,36% Crit,64% Mastery,Arathi Greataxe,600,17000
Saurfang,229073,Leather,Legs,57% Mastery,43% Vers,Azra's Spare Trousers,564,28000
Saurfang,210082,Plate,Feet,60% Crit,40% Vers,Harvest Guardian Sabatons,424,69998
Saurfang,210082,Plate,Feet,60% Crit,40% Vers,Harvest Guardian Sabatons,421,49129
Saurfang,210100,Cloth,Shoulder,55% Vers,45% Mastery,Maple Tender Mantle,421,64551
Saurfang,210100,Cloth,Shoulder,55% Vers,45% Mastery,Maple Tender Mantle,418,68871
Saurfang,210101,Mail,Shoulder,65% Vers,35% Crit,Wind Wolf Epaulets,418,55392
Saurfang,210108,Mail,Wrist,40% Haste,60% Vers,Wind Wolf Cuffs,421,52461
